COG	COG term
COG0231	[J] COG0231 Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	[F] COG0232 dGTP triphosphohydrolase
COG0233	[J] COG0233 Ribosome recycling factor
COG0234	[O] COG0234 Co-chaperonin GroES (HSP10)
COG0235	[G] COG0235 Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases
COG0236	[IQ] COG0236 Acyl carrier protein
COG0237	[H] COG0237 Dephospho-CoA kinase
COG0238	[J] COG0238 Ribosomal protein S18
COG0239	[D] COG0239 Integral membrane protein possibly involved in chromosome condensation
COG0240	[C] COG0240 Glycerol-3-phosphate dehydrogenase
COG0241	[E] COG0241 Histidinol phosphatase and related phosphatases
COG0242	[J] COG0242 N-formylmethionyl-tRNA deformylase
COG0243	[C] COG0243 Anaerobic dehydrogenases, typically selenocysteine-containing
COG0244	[J] COG0244 Ribosomal protein L10
COG0245	[I] COG0245 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0246	[G] COG0246 Mannitol-1-phosphate/altronate dehydrogenases
COG0247	[C] COG0247 Fe-S oxidoreductase
COG0248	[FP] COG0248 Exopolyphosphatase
COG0249	[L] COG0249 Mismatch repair ATPase (MutS family)
COG0250	[K] COG0250 Transcription antiterminator
COG0251	[J] COG0251 Putative translation initiation inhibitor, yjgF family
COG0252	[EJ] COG0252 L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0253	[E] COG0253 Diaminopimelate epimerase
COG0254	[J] COG0254 Ribosomal protein L31
COG0255	[J] COG0255 Ribosomal protein L29
COG0256	[J] COG0256 Ribosomal protein L18
COG0257	[J] COG0257 Ribosomal protein L36
COG0258	[L] COG0258 5'-3' exonuclease (including N-terminal domain of PolI)
COG0259	[H] COG0259 Pyridoxamine-phosphate oxidase
COG0260	[E] COG0260 Leucyl aminopeptidase
COG0261	[J] COG0261 Ribosomal protein L21
COG0262	[H] COG0262 Dihydrofolate reductase
COG0263	[E] COG0263 Glutamate 5-kinase
COG0264	[J] COG0264 Translation elongation factor Ts
COG0265	[O] COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain
COG0266	[L] COG0266 Formamidopyrimidine-DNA glycosylase
COG0267	[J] COG0267 Ribosomal protein L33
COG0268	[J] COG0268 Ribosomal protein S20
COG0269	[G] COG0269 3-hexulose-6-phosphate synthase and related proteins
COG0270	[L] COG0270 Site-specific DNA methylase
COG0271	[T] COG0271 Stress-induced morphogen (activity unknown)
COG0272	[L] COG0272 NAD-dependent DNA ligase (contains BRCT domain type II)
COG0274	[F] COG0274 Deoxyribose-phosphate aldolase
COG0275	[M] COG0275 Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis
COG0276	[H] COG0276 Protoheme ferro-lyase (ferrochelatase)
COG0277	[C] COG0277 FAD/FMN-containing dehydrogenases
COG0278	[O] COG0278 Glutaredoxin-related protein
COG0279	[G] COG0279 Phosphoheptose isomerase
COG0280	[C] COG0280 Phosphotransacetylase
COG0281	[C] COG0281 Malic enzyme
COG0282	[C] COG0282 Acetate kinase
COG0283	[F] COG0283 Cytidylate kinase
COG0284	[F] COG0284 Orotidine-5'-phosphate decarboxylase
COG0285	[H] COG0285 Folylpolyglutamate synthase
COG0286	[V] COG0286 Type I restriction-modification system methyltransferase subunit
COG0287	[E] COG0287 Prephenate dehydrogenase
COG0288	[P] COG0288 Carbonic anhydrase
COG0289	[E] COG0289 Dihydrodipicolinate reductase
COG0290	[J] COG0290 Translation initiation factor 3 (IF-3)
COG0291	[J] COG0291 Ribosomal protein L35
COG0292	[J] COG0292 Ribosomal protein L20
COG0293	[J] COG0293 23S rRNA methylase
COG0294	[H] COG0294 Dihydropteroate synthase and related enzymes
COG0295	[F] COG0295 Cytidine deaminase
COG0296	[G] COG0296 1,4-alpha-glucan branching enzyme
COG0297	[G] COG0297 Glycogen synthase
COG0298	[O] COG0298 Hydrogenase maturation factor
COG0299	[F] COG0299 Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0300	[R] COG0300 Short-chain dehydrogenases of various substrate specificities
COG0301	[H] COG0301 Thiamine biosynthesis ATP pyrophosphatase
COG0302	[H] COG0302 GTP cyclohydrolase I
COG0303	[H] COG0303 Molybdopterin biosynthesis enzyme
COG0304	[IQ] COG0304 3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	[L] COG0305 Replicative DNA helicase
COG0306	[P] COG0306 Phosphate/sulphate permeases
COG0307	[H] COG0307 Riboflavin synthase alpha chain
COG0308	[E] COG0308 Aminopeptidase N
COG0309	[O] COG0309 Hydrogenase maturation factor
COG0310	[P] COG0310 ABC-type Co2+ transport system, permease component
COG0311	[H] COG0311 Predicted glutamine amidotransferase involved in pyridoxine biosynthesis
COG0312	[R] COG0312 Predicted Zn-dependent proteases and their inactivated homologs
COG0313	[R] COG0313 Predicted methyltransferases
COG0314	[H] COG0314 Molybdopterin converting factor, large subunit
COG0315	[H] COG0315 Molybdenum cofactor biosynthesis enzyme
COG0316	[S] COG0316 Uncharacterized conserved protein
COG0317	[TK] COG0317 Guanosine polyphosphate pyrophosphohydrolases/synthetases
COG0318	[IQ] COG0318 Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
COG0319	[R] COG0319 Predicted metal-dependent hydrolase
COG0320	[H] COG0320 Lipoate synthase
COG0321	[H] COG0321 Lipoate-protein ligase B
COG0322	[L] COG0322 Nuclease subunit of the excinuclease complex
COG0323	[L] COG0323 DNA mismatch repair enzyme (predicted ATPase)
COG0324	[J] COG0324 tRNA delta(2)-isopentenylpyrophosphate transferase
COG0325	[R] COG0325 Predicted enzyme with a TIM-barrel fold
COG0326	[O] COG0326 Molecular chaperone, HSP90 family
COG0327	[S] COG0327 Uncharacterized conserved protein
COG0328	[L] COG0328 Ribonuclease HI
COG0329	[EM] COG0329 Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	[O] COG0330 Membrane protease subunits, stomatin/prohibitin homologs
COG0331	[I] COG0331 (acyl-carrier-protein) S-malonyltransferase
COG0332	[I] COG0332 3-oxoacyl-[acyl-carrier-protein] synthase III
COG0333	[J] COG0333 Ribosomal protein L32
COG0334	[E] COG0334 Glutamate dehydrogenase/leucine dehydrogenase
COG0335	[J] COG0335 Ribosomal protein L19
COG0336	[J] COG0336 tRNA-(guanine-N1)-methyltransferase
COG0337	[E] COG0337 3-dehydroquinate synthetase
COG0338	[L] COG0338 Site-specific DNA methylase
COG0339	[E] COG0339 Zn-dependent oligopeptidases
COG0340	[H] COG0340 Biotin-(acetyl-CoA carboxylase) ligase
COG0341	[U] COG0341 Preprotein translocase subunit SecF
COG0342	[U] COG0342 Preprotein translocase subunit SecD
COG0343	[J] COG0343 Queuine/archaeosine tRNA-ribosyltransferase
COG0344	[S] COG0344 Predicted membrane protein
COG0345	[E] COG0345 Pyrroline-5-carboxylate reductase
COG0346	[E] COG0346 Lactoylglutathione lyase and related lyases
COG0347	[E] COG0347 Nitrogen regulatory protein PII
COG0348	[C] COG0348 Polyferredoxin
COG0349	[J] COG0349 Ribonuclease D
COG0350	[L] COG0350 Methylated DNA-protein cysteine methyltransferase
COG0351	[H] COG0351 Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	[H] COG0352 Thiamine monophosphate synthase
COG0353	[L] COG0353 Recombinational DNA repair protein (RecF pathway)
COG0354	[R] COG0354 Predicted aminomethyltransferase related to GcvT
COG0355	[C] COG0355 F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)
COG0356	[C] COG0356 F0F1-type ATP synthase, subunit a
COG0357	[M] COG0357 Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
COG0358	[L] COG0358 DNA primase (bacterial type)
COG0359	[J] COG0359 Ribosomal protein L9
COG0360	[J] COG0360 Ribosomal protein S6
COG0361	[J] COG0361 Translation initiation factor 1 (IF-1)
COG0362	[G] COG0362 6-phosphogluconate dehydrogenase
COG0363	[G] COG0363 6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0364	[G] COG0364 Glucose-6-phosphate 1-dehydrogenase
COG0365	[I] COG0365 Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases
COG0366	[G] COG0366 Glycosidases
COG0367	[E] COG0367 Asparagine synthase (glutamine-hydrolyzing)
COG0368	[H] COG0368 Cobalamin-5-phosphate synthase
COG0369	[P] COG0369 Sulfite reductase, alpha subunit (flavoprotein)
COG0370	[P] COG0370 Fe2+ transport system protein B
COG0371	[C] COG0371 Glycerol dehydrogenase and related enzymes
COG0372	[C] COG0372 Citrate synthase
COG0373	[H] COG0373 Glutamyl-tRNA reductase
COG0374	[C] COG0374 Ni,Fe-hydrogenase I large subunit
COG0375	[R] COG0375 Zn finger protein HypA/HybF (possibly regulating hydrogenase expression)
COG0376	[P] COG0376 Catalase (peroxidase I)
COG0377	[C] COG0377 NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases
COG0378	[OK] COG0378 Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase
COG0379	[H] COG0379 Quinolinate synthase
COG0380	[G] COG0380 Trehalose-6-phosphate synthase
COG0381	[M] COG0381 UDP-N-acetylglucosamine 2-epimerase
COG0382	[H] COG0382 4-hydroxybenzoate polyprenyltransferase and related prenyltransferases
COG0383	[G] COG0383 Alpha-mannosidase
COG0384	[R] COG0384 Predicted epimerase, PhzC/PhzF homolog
COG0385	[R] COG0385 Predicted Na+-dependent transporter
COG0386	[O] COG0386 Glutathione peroxidase
COG0387	[P] COG0387 Ca2+/H+ antiporter
COG0388	[R] COG0388 Predicted amidohydrolase
COG0389	[L] COG0389 Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0390	[R] COG0390 ABC-type uncharacterized transport system, permease component
COG0391	[S] COG0391 Uncharacterized conserved protein
COG0392	[S] COG0392 Predicted integral membrane protein
COG0393	[S] COG0393 Uncharacterized conserved protein
COG0394	[T] COG0394 Protein-tyrosine-phosphatase
COG0395	[G] COG0395 ABC-type sugar transport system, permease component
COG0396	[O] COG0396 ABC-type transport system involved in Fe-S cluster assembly, ATPase component
COG0397	[S] COG0397 Uncharacterized conserved protein
COG0398	[S] COG0398 Uncharacterized conserved protein
COG0399	[M] COG0399 Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis
COG0400	[R] COG0400 Predicted esterase
COG0401	[S] COG0401 Uncharacterized homolog of Blt101
COG0402	[FR] COG0402 Cytosine deaminase and related metal-dependent hydrolases
COG0403	[E] COG0403 Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain
COG0404	[E] COG0404 Glycine cleavage system T protein (aminomethyltransferase)
COG0405	[E] COG0405 Gamma-glutamyltransferase
COG0406	[G] COG0406 Fructose-2,6-bisphosphatase
COG0407	[H] COG0407 Uroporphyrinogen-III decarboxylase
COG0408	[H] COG0408 Coproporphyrinogen III oxidase
COG0409	[O] COG0409 Hydrogenase maturation factor
COG0410	[E] COG0410 ABC-type branched-chain amino acid transport systems, ATPase component
COG0411	[E] COG0411 ABC-type branched-chain amino acid transport systems, ATPase component
COG0412	[Q] COG0412 Dienelactone hydrolase and related enzymes
COG0413	[H] COG0413 Ketopantoate hydroxymethyltransferase
COG0414	[H] COG0414 Panthothenate synthetase
COG0415	[L] COG0415 Deoxyribodipyrimidine photolyase
COG0416	[I] COG0416 Fatty acid/phospholipid biosynthesis enzyme
COG0417	[L] COG0417 DNA polymerase elongation subunit (family B)
COG0418	[F] COG0418 Dihydroorotase
COG0419	[L] COG0419 ATPase involved in DNA repair
COG0420	[L] COG0420 DNA repair exonuclease
COG0421	[E] COG0421 Spermidine synthase
COG0422	[H] COG0422 Thiamine biosynthesis protein ThiC
COG0423	[J] COG0423 Glycyl-tRNA synthetase (class II)
COG0424	[D] COG0424 Nucleotide-binding protein implicated in inhibition of septum formation
COG0425	[O] COG0425 Predicted redox protein, regulator of disulfide bond formation
COG0426	[C] COG0426 Uncharacterized flavoproteins
COG0427	[C] COG0427 Acetyl-CoA hydrolase
COG0428	[P] COG0428 Predicted divalent heavy-metal cations transporter
COG0429	[R] COG0429 Predicted hydrolase of the alpha/beta-hydrolase fold
COG0430	[A] COG0430 RNA 3'-terminal phosphate cyclase
COG0431	[R] COG0431 Predicted flavoprotein
COG0432	[S] COG0432 Uncharacterized conserved protein
COG0433	[R] COG0433 Predicted ATPase
COG0434	[R] COG0434 Predicted TIM-barrel enzyme
COG0435	[O] COG0435 Predicted glutathione S-transferase
